,acousticness,album,album_id,album_release,artist,danceability,energy,feature,key,loudness,tempo,track_id,track_name,valence,rank,percentile
2,0.482,KOD,4Wv5UAieM1LDEYVq5WmqDd,2018-04-20,J. Cole,0.829,0.527,No Feature,6,-6.644,116.078,6tZ3b7ik1QDXFAZlXib0YZ,Kevin’s Heart,0.473,3,19
3,0.54,Swimming,5wtE5aLX5r7jOosmPhJhhk,2018-08-03,Mac Miller,0.791,0.557,No Feature,7,-9.622,119.973,2JmFRXaJrkAUD2cs6U20KG,Jet Fuel,0.284,4,19
4,0.0557,Aquemini,5rAKpmOCOjMwkMjBpTGVQw,1998-09-29,OutKast,0.817,0.787,No Feature,7,-5.491,103.899,1F3Y21MShhz91pGGr7Avt9,Da Art of Storytellin' (Pt. 1),0.412,5,19
5,0.0502,The Low End Theory,1p12OAWwudgMqfMzjMvl2a,1991-09-24,A Tribe Called Quest,0.881,0.361,No Feature,11,-14.728,96.43,4HfxDJ0uLHTLe0fZrx0MbQ,Check the Rhime,0.799,6,18
6,0.736,Swimming,5wtE5aLX5r7jOosmPhJhhk,2018-08-03,Mac Miller,0.759,0.492,No Feature,1,-10.338,104.974,2dgrYdgguVZKeCsrVb9XEs,What's the Use?,0.561,7,18
7,0.818,Swimming,5wtE5aLX5r7jOosmPhJhhk,2018-08-03,Mac Miller,0.656,0.33,No Feature,8,-8.771,119.057,16umSNZfofRpDqTvf8DIAo,Wings,0.349,8,18
8,0.768,Swimming,5wtE5aLX5r7jOosmPhJhhk,2018-08-03,Mac Miller,0.622,0.229,No Feature,1,-11.322,81.87,3YnwIp2b99p3e5dsFTXIIx,Dunno,0.0998,9,18
9,0.883,?,2Ti79nwTsont5ZHfdxIzAm,2018-03-16,XXXTENTACION,0.669,0.308,No Feature,11,-10.068,64.934,7AFASza1mXqntmGtbxXprO,changes,0.52,10,18
10,0.89,Swimming,5wtE5aLX5r7jOosmPhJhhk,2018-08-03,Mac Miller,0.272,0.238,No Feature,2,-12.148,83.507,01z2fBGB8Hl3Jd3zXe4IXR,Come Back to Earth,0.119,11,17
11,0.569,Liberated,18fTRuJJDlbhrl2SREyuJA,2018-06-08,DeJ Loaf,0.739,0.605,Leon Bridges,10,-3.632,127.0,5OQByVDbs9788HBRIBqgNW,Liberated,0.623,12,17
12,0.0954,ye,5EBGCvO6upi3GNknMVe9x9,2018-06-01,Kanye West,0.572,0.543,PARTYNEXTDOOR,7,-4.251,83.364,6Bg7MznA9X0dIhlAsLyBYj,Ghost Town,0.329,13,17
13,0.233,ASTROWORLD,41GuZcammIkupMPKH2OJ6I,2018-08-03,Travis Scott,0.605,0.404,No Feature,5,-5.918,140.097,7KZ5MMVgBVox9ycroB2UrI,CAROUSEL,0.149,14,17
14,0.0489,Creep (The Four Performance),1lo6xWACROyUqm9jqNuaH7,2018-02-09,VINCINT,0.131,0.71,No Feature,10,-5.566,179.359,6x99an9ChMTqfp7HBlx1NC,Creep - The Four Performance,0.143,15,17
15,0.00556,The Thrill Of It All (Special Edition),3XftSbguntyRTBQaGItmfK,2017-11-03,Sam Smith,0.517,0.648,No Feature,5,-7.692,169.745,7HwcH5CiJzuUzspuOqOJQa,"Baby, You Make Me Crazy",0.541,16,16
16,0.0172,St. Elsewhere,7p2aWivr9OLXocSTTKtG9B,2006-05-02,Gnarls Barkley,0.835,0.741,No Feature,8,-1.609,111.963,2N5zMZX7YeL1tico8oQxa9,Crazy,0.612,17,16
